age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
69,technician,married,secondary,no,-620,yes,no,cellular,30,may,0,7,-1,0,unknown,no
32,technician,married,tertiary,no,4495,yes,no,cellular,28,nov,161,8,-1,0,unknown,no
89,technician,married,secondary,no,-3296,yes,no,cellular,22,jul,2209,24,-1,0,unknown,yes
78,admin.,divorced,secondary,no,909,no,no,cellular,2,apr,491,8,-1,0,unknown,no
38,unknown,married,secondary,no,6641,no,no,unknown,26,apr,228,28,-1,0,unknown,no
92,unemployed,married,tertiary,no,-991,no,no,cellular,30,nov,305,5,-1,0,unknown,no
92,management,married,tertiary,no,3249,no,yes,cellular,5,aug,238,23,-1,0,unknown,no
41,student,single,secondary,no,-3849,yes,no,cellular,11,may,429,11,-1,0,unknown,no
20,technician,married,tertiary,no,-534,no,no,unknown,10,jul,560,23,152,6,failure,no
39,blue-collar,single,tertiary,no,1960,no,yes,cellular,15,sep,375,2,-1,0,unknown,no
70,housemaid,married,unknown,no,2482,no,no,cellular,18,apr,51,15,-1,0,unknown,no
19,services,single,secondary,no,7624,yes,no,unknown,17,may,120,19,-1,0,unknown,no
47,blue-collar,married,tertiary,no,-90,yes,no,unknown,14,aug,395,27,-1,0,unknown,no
55,technician,married,secondary,no,3205,no,no,unknown,28,apr,447,18,100,8,other,no
19,technician,divorced,secondary,no,3121,yes,yes,cellular,30,may,255,15,-1,0,unknown,no
81,admin.,single,tertiary,no,-344,yes,no,unknown,30,may,323,19,-1,0,unknown,no
77,management,married,secondary,no,4289,no,no,cellular,28,aug,49,25,-1,0,unknown,no
38,blue-collar,married,secondary,no,3426,yes,no,cellular,13,jan,120,7,-1,0,unknown,no
50,unknown,married,secondary,no,601,no,no,cellular,20,apr,197,4,-1,0,unknown,no
93,blue-collar,single,secondary,yes,2006,yes,no,cellular,2,apr,1062,14,-1,0,unknown,yes
75,student,married,secondary,no,-1456,no,no,cellular,25,may,414,8,-1,0,unknown,no
39,entrepreneur,married,secondary,no,-1234,yes,no,cellular,12,may,55,29,-1,0,unknown,no
66,technician,married,tertiary,no,1357,no,yes,cellular,27,may,112,23,-1,0,unknown,no
76,management,single,tertiary,no,3664,yes,no,telephone,11,may,63,10,-1,0,unknown,no
59,admin.,single,secondary,no,421,no,no,cellular,19,may,42,13,-1,0,unknown,no
77,blue-collar,single,tertiary,no,-427,yes,yes,cellular,12,apr,32,6,-1,0,unknown,no
32,unknown,married,primary,no,729,yes,no,cellular,25,jul,870,4,-1,0,unknown,no
79,technician,divorced,secondary,no,3907,no,no,cellular,4,nov,611,5,163,2,other,no
79,blue-collar,single,secondary,no,-2633,no,no,unknown,10,jul,170,10,-1,0,unknown,no
64,blue-collar,divorced,tertiary,no,4006,yes,yes,telephone,12,aug,205,24,-1,0,unknown,no
79,retired,married,tertiary,no,2957,yes,yes,cellular,7,nov,470,13,-1,0,unknown,no
68,management,married,secondary,no,-2647,yes,no,cellular,23,may,269,19,52,1,failure,no
72,services,single,secondary,no,716,yes,no,cellular,6,jun,340,11,326,1,success,no
81,admin.,married,secondary,no,3330,no,no,unknown,8,jul,404,28,-1,0,unknown,no
20,technician,married,unknown,no,-4309,yes,no,unknown,27,may,170,19,-1,0,unknown,no
68,admin.,single,secondary,no,-1683,no,no,unknown,11,jul,949,5,-1,0,unknown,yes
24,retired,single,unknown,no,-3146,yes,no,cellular,6,jul,255,25,-1,0,unknown,no
38,admin.,divorced,secondary,yes,-311,yes,yes,unknown,25,sep,258,5,-1,0,unknown,no
90,student,single,secondary,no,4535,yes,no,telephone,21,aug,39,1,-1,0,unknown,no
56,retired,married,secondary,no,3816,yes,no,cellular,27,may,1135,21,-1,0,unknown,yes
35,blue-collar,married,tertiary,no,-94,yes,no,cellular,3,may,18,9,192,2,success,no
21,management,married,secondary,no,4508,yes,yes,cellular,21,may,1094,7,-1,0,unknown,yes
77,retired,married,secondary,no,3412,no,no,unknown,20,may,622,9,-1,0,unknown,no
31,unknown,married,primary,no,5247,yes,no,cellular,19,jul,500,26,-1,0,unknown,no
26,admin.,married,unknown,no,1156,yes,yes,cellular,1,may,288,10,-1,0,unknown,no
70,technician,married,secondary,no,3039,yes,no,unknown,24,nov,242,21,-1,0,unknown,no
19,unemployed,single,secondary,no,11537,yes,no,unknown,4,apr,1467,3,-1,0,unknown,yes
77,admin.,divorced,tertiary,no,493,yes,no,cellular,28,may,941,18,-1,0,unknown,yes
88,admin.,single,tertiary,no,1227,yes,no,cellular,19,sep,430,9,-1,0,unknown,no
61,services,single,secondary,no,945,no,no,cellular,28,jul,23,5,-1,0,unknown,no
25,admin.,single,primary,no,1150,no,no,cellular,20,jul,120,11,-1,0,unknown,no
